"boardgamegeek.com game ID",title,yearpublished,playingtime,minplaytime,maxplaytime,minage,minplayers,maxplayers,categories,mechanics,families,designers,artists,publishers,"numplayervotes (1B 1R 1N 2B 2R 2N ...)","agevotes (2 3 4 5 6 8 10 12 14 16 18 21+)","textuse (no some mod ext max)"
139030,"Mascarade",2013,30,30,30,10,2,13,"1023 1035 1030","2047 2015","","125","63947","4384 157 15889 1391 15983 7466 9234","0 0 59 4 2 60 6 7 56 5 30 36 14 44 13 36 36 1 52 23 1 49 22 3 22 41 4 14 46 5 8 33 19 6 31 24 7 25 31 0 4 44","0 0 0 0 3 10 10 3 1 0 0 0","29 9 1 0 0"
10630,"Memoir '44",2004,60,30,60,8,2,8,"1047 1019 1049","2080 2018 2072 2676 2040 2011 2070","50 10137","25","12519 11886 908 20387","1027 23043 2973","3 29 126 220 18 1 20 63 77 1 3 6 0 0 10 0 0 9 0 0 9 0 0 4 0 0 5","2 0 2 1 11 51 40 8 3 0 0 1","1 26 70 11 2"
27746,"Colosseum",2007,90,60,90,10,3,5,"1050 1026","2012 2072 2035 2004 2008","5606","7 8268","12519 65633 11886 5245","1027 9499 2973","1 0 56 0 2 57 8 60 21 41 53 2 67 25 5 1 1 43","0 0 0 0 0 2 12 5 2 0 0 0","40 3 1 0 0"
115746,"War of the Ring (Second Edition)",2012,180,150,180,13,2,4,"1022 1017 1010 1047 1093 1086 1019","2080 2046 2018 2072 2040","5615 4263 5723","3247 934 935","84238 11884 20670","17917 2366 29194 4617 264 14346 6123 35809","1 9 69 132 9 1 4 23 67 9 47 46 0 0 68","0 0 0 0 0 0 3 13 19 12 0 1","1 0 4 38 4"
37904,"Formula D",2008,60,60,60,8,2,10,"1031 1038","2072 2676 2685 2661 2035 2070","13107 143 6206","107 108","28528 12386 28526","23043 157 8617","1 17 105 3 46 83 13 72 47 35 95 16 85 55 2 96 43 2 80 48 6 79 49 9 36 63 25 42 64 27 4 17 60","0 0 0 1 12 35 9 3 1 0 0 0","61 4 0 0 0"
11,"Bohnanza",1997,45,45,45,13,2,7,"1002 1013 1026","2040 2004 2008","5 18","10","28004 44242 12035 11507 11901 65041 308 12123 4959 24642 74 12024 10 233 12102 11883 12038","8 267 7162 2378 6818 8845 155 6214 5640 8291 3218 9325 234 7772 3395 3504 32581 22 3 3888 9234 27545","0 1 283 19 73 261 37 245 94 194 202 7 275 108 4 121 191 34 41 195 87 1 14 195","0 0 2 2 15 67 33 5 1 1 1 0","127 8 0 0 0"
113294,"Escape: The Curse of the Temple",2012,10,10,10,8,1,5,"1022 1017 1072 1020 1037","2023 2072 2676 2011 2002","21940 7475 8374 28897 24255 5666","4063","34863","47 7466","5 59 35 14 89 14 35 77 2 74 44 0 42 64 4 6 17 42","0 0 0 1 9 29 6 1 1 0 0 0","54 0 0 0 0"
2223,"UNO",1971,30,30,30,6,2,10,"1002 1116 1064 1098","2040","5601 24432 24434 28892 5338 20667 17709 10335 11505 8120 6204 5637 5636 4890","1046","3 3030 43644 52757","3320 8 6103 74 4680 1772 2919 200 14533 103 13103 858 8400 117 93 6876 1138 95","0 0 92 14 40 57 17 79 10 79 31 1 79 24 3 63 39 4 15 56 24 10 48 32 3 22 62 3 18 68 0 8 74","0 2 13 24 26 13 0 0 0 0 0 0","54 5 0 0 0"
39938,"Carson City",2009,90,90,90,12,2,5,"1055 1029 1021","2080 2072 2002 2082","19135 14835 129","11312","12282","9074 597 3490 4696 1466","0 0 67 4 52 33 22 66 5 74 25 1 25 53 14 0 2 50","0 0 0 0 0 0 6 23 4 0 0 0","49 1 0 0 0"
31594,"In the Year of the Dragon",2007,100,75,100,12,2,5,"1021 1035","2040 2079","58 9470 11518","4958","4959 11825","9 34 9068 5657 3","0 3 103 15 80 67 49 105 18 131 54 2 89 71 11 0 3 78","0 0 0 0 0 0 7 25 9 0 0 0","72 4 0 0 0"
